Raw EEG,Attention,Meditation,Alpha,Delta,Theta,Low Beta,High Beta,Gamma
-0.007311503,,,,,,,,
3.236452738,,,,,,,,
6.153424581,,,,,,,,
0.668207804,,,,,,,,
-11.90980275,,,,,,,,
3.991127014,,,,,,,,
13.13845317,,,,,,,,
9.659131368,,,,,,,,
10.94023387,,,,,,,,
4.121780396,,,,,,,,
4.546483358,,,,,,,,
-21.52633667,,,,,,,,
-17.74501801,,,,,,,,
-5.644798279,,,,,,,,
-2.423604329,,,,,,,,
-3.036181132,,,,,,,,
-2.351442973,,,,,,,,
-12.17397054,,,,,,,,
-19.38311259,,,,,,,,
-11.94063822,,,,,,,,
-19.2750295,,,,,,,,
-11.68092092,,,,,,,,
-13.15180461,,,,,,,,
-0.113487244,,,,,,,,
-0.142733256,,,,,,,,
-3.563245138,,,,,,,,
-14.44975535,,,,,,,,
-5.746841431,,,,,,,,
-9.660085042,,,,,,,,
-5.135218302,,,,,,,,
-13.38068644,,,,,,,,
6.371498108,,,,,,,,
15.84720612,,,,,,,,
0.855445862,,,,,,,,
3.68754069,,,,,,,,
-5.288759867,,,,,,,,
-2.178192139,,,,,,,,
2.553939819,,,,,,,,
5.789438883,,,,,,,,
-0.469207764,,,,,,,,
12.2944514,,,,,,,,
10.52061717,,,,,,,,
12.73568471,,,,,,,,
4.114786784,,,,,,,,
2.175013224,,,,,,,,
15.40470123,,,,,,,,
-6.084124247,,,,,,,,
-12.84980774,,,,,,,,
-4.435221354,,,,,,,,
-3.364562988,,,,,,,,
0.072161357,,,,,,,,
3.742218018,,,,,,,,
-3.289222717,,,,,,,,
7.408777873,,,,,,,,
-1.696268717,,,,,,,,
-9.792009989,,,,,,,,
-0.928243001,,,,,,,,
-11.03528341,,,,,,,,
-8.684476217,,,,,,,,
0.451087952,,,,,,,,
-8.957544963,,,,,,,,
-4.49180603,,,,,,,,
-3.650347392,,,,,,,,
-8.697191874,,,,,,,,
-1.953125,,,,,,,,
-8.157730103,,,,,,,,
-8.257230123,,,,,,,,
-3.290494283,,,,,,,,
-15.6955719,,,,,,,,
-8.084615072,,,,,,,,
0.305493673,,,,,,,,
-8.620262146,,,,,,,,
-4.450798035,,,,,,,,
-3.708521525,,,,,,,,
-2.557436625,,,,,,,,
3.644625346,,,,,,,,
-10.22148132,,,,,,,,
-10.98155975,,,,,,,,
-6.868044535,,,,,,,,
-11.36048635,,,,,,,,
-2.502123515,,,,,,,,
-0.389099121,,,,,,,,
-2.779324849,,,,,,,,
5.182584127,,,,,,,,
-2.407709757,,,,,,,,
1.003265381,,,,,,,,
8.718490601,,,,,,,,
-13.18581899,,,,,,,,
3.710110982,,,,,,,,
1.239776611,,,,,,,,
-1.526832581,,,,,,,,
-7.846196493,,,,,,,,
-26.62054698,,,,,,,,
-35.4458491,,,,,,,,
-33.48636627,,,,,,,,
-13.06724548,,,,,,,,
14.66178894,,,,,,,,
29.88211314,,,,,,,,
23.41429392,,,,,,,,
44.01429494,,,,,,,,
26.83830261,,,,,,,,
28.42394511,,,,,,,,
18.58552297,,,,,,,,
15.24766286,,,,,,,,
6.181081136,,,,,,,,
-6.527900696,,,,,,,,
-4.029591878,,,,,,,,
10.28951009,,,,,,,,
-5.34025828,,,,,,,,
3.81565094,,,,,,,,
14.05143738,,,,,,,,
3.997484843,,,,,,,,
16.88671112,,,,,,,,
4.047075907,,,,,,,,
-10.48024495,,,,,,,,
-7.913589478,,,,,,,,
-16.59297943,,,,,,,,
-1.233736674,,,,,,,,
-11.20026906,,,,,,,,
-27.75382996,,,,,,,,
-20.79232534,,,,,,,,
-19.30650075,,,,,,,,
-23.82946014,,,,,,,,
-22.15703328,,,,,,,,
-19.73279317,,,,,,,,
-19.61231232,,,,,,,,
-13.38799795,,,,,,,,
-23.08273315,,,,,,,,
-34.70198313,,,,,,,,
-5.139350891,,,,,,,,
-13.70302836,,,,,,,,
-26.0998408,,,,,,,,
-19.95340983,,,,,,,,
-19.72866058,,,,,,,,
-35.557429,,,,,,,,
-46.50847117,,,,,,,,
-19.89301046,,,,,,,,
-24.90711212,,,,,,,,
-29.03207143,,,,,,,,
-25.46628316,,,,,,,,
-26.19806925,,,,,,,,
-31.47188822,,,,,,,,
-17.43221283,,,,,,,,
-25.61187744,,,,,,,,
-12.078921,,,,,,,,
-12.28523254,,,,,,,,
-20.48842112,,,,,,,,
-13.46206665,,,,,,,,
-16.02045695,,,,,,,,
-15.88726044,,,,,,,,
-9.892145793,,,,,,,,
-16.41305288,,,,,,,,
-1.960436503,,,,,,,,
1.646677653,,,,,,,,
3.576596578,,,,,,,,
7.563591003,,,,,,,,
5.999565125,,,,,,,,
2.226193746,,,,,,,,
4.940668742,,,,,,,,
-6.589571635,,,,,,,,
0.636100769,,,,,,,,
-0.896771749,,,,,,,,
-2.341270447,,,,,,,,
22.9918162,,,,,,,,
1.976966858,,,,,,,,
-5.186080933,,,,,,,,
-2.07455953,,,,,,,,
-12.9887263,,,,,,,,
-14.45833842,,,,,,,,
-19.27820841,,,,,,,,
-10.56989034,,,,,,,,
-9.942690531,,,,,,,,
-22.88246155,,,,,,,,
-28.10096741,,,,,,,,
-14.56769307,,,,,,,,
-12.97283173,,,,,,,,
-6.963729858,,,,,,,,
-4.955927531,,,,,,,,
-15.34175873,,,,,,,,
-17.75455475,,,,,,,,
-17.23957062,,,,,,,,
-18.55309804,,,,,,,,
-2.874056498,,,,,,,,
-14.33690389,,,,,,,,
-6.207784017,,,,,,,,
-1.005808512,,,,,,,,
-15.41678111,,,,,,,,
-6.848971049,,,,,,,,
-15.70955912,,,,,,,,
-13.76565297,,,,,,,,
-14.28000132,,,,,,,,
-9.916941325,,,,,,,,
4.691123962,,,,,,,,
0.178654989,,,,,,,,
-18.38080088,,,,,,,,
-8.19905599,,,,,,,,
-9.534517924,,,,,,,,
-13.00938924,,,,,,,,
-17.13848114,,,,,,,,
-33.80552928,,,,,,,,
-37.57667542,,,,,,,,
-33.147494,,,,,,,,
-19.99727885,,,,,,,,
-8.654912313,,,,,,,,
-8.979479472,,,,,,,,
-8.565266927,,,,,,,,
-2.296447754,,,,,,,,
-15.60878754,,,,,,,,
-15.56905111,,,,,,,,
-11.14368439,,,,,,,,
0.877380371,,,,,,,,
-1.07606252,,,,,,,,
10.96566518,,,,,,,,
-4.922866821,,,,,,,,
9.84064738,,,,,,,,
9.556770325,,,,,,,,
11.16371155,,,,,,,,
8.054097493,,,,,,,,
10.01103719,,,,,,,,
12.18573252,,,,,,,,
9.524345398,,,,,,,,
14.22913869,,,,,,,,
30.35958608,,,,,,,,
20.87593079,,,,,,,,
29.00632222,,,,,,,,
35.40706635,,,,,,,,
37.05851237,,,,,,,,
37.52803802,,,,,,,,
26.63644155,,,,,,,,
45.31637828,,,,,,,,
64.2859141,,,,,,,,
52.07633972,,,,,,,,
54.50471242,,,,,,,,
94.37243144,,,,,,,,
112.6060486,,,,,,,,
138.1950378,,,,,,,,
163.9919281,,,,,,,,
181.2721888,,,,,,,,
214.7213618,,,,,,,,
227.1127701,,,,,,,,
238.2011414,,,,,,,,
263.8333639,,,,,,,,
272.0158895,,,,,,,,
281.1400096,,,,,,,,
282.2430929,,,,,,,,
284.3612035,,,,,,,,
296.1479823,,,,,,,,
305.9536616,,,,,,,,
302.0925522,,,,,,,,
300.2449671,,,,,,,,
284.0884527,,,,,,,,
272.304217,,,,,,,,
257.35569,,,,,,,,
253.4236908,,,,,,,,
248.4792074,,,,,,,,
242.4157461,,,,,,,,
230.6461334,,,,,,,,
219.1594442,,,,,,,,
207.801501,,,,,,,,
200.9191513,,,,,,,,
188.7521744,,,,,,,,
172.2704569,,,,,,,,
172.0724106,,,,,,,,
165.2692159,,,,,,,,
156.9385529,,,,,,,,
165.7114029,,,,,,,,
141.0032908,,,,,,,,
152.6231766,,,,,,,,
131.4665476,,,,,,,,
116.9993083,,,,,,,,
101.3657252,,,,,,,,
97.97414144,,,,,,,,
93.89209747,,,,,,,,
92.39641825,,,,,,,,
62.29909261,,,,,,,,
41.5391922,,,,,,,,
45.07954915,,,,,,,,
54.0749232,,,,,,,,
43.69576772,,,,,,,,
40.55309296,,,,,,,,
35.19789378,,,,,,,,
34.892718,,,,,,,,
6.506601969,,,,,,,,
18.85668437,,,,,,,,
10.20240784,,,,,,,,
7.068634033,,,,,,,,
5.422274272,,,,,,,,
1.579920451,,,,,,,,
-0.527381897,,,,,,,,
-1.521428426,,,,,,,,
-18.30323537,,,,,,,,
-21.78700765,,,,,,,,
-5.885759989,,,,,,,,
-11.72033946,,,,,,,,
-32.58164724,,,,,,,,
-40.60427348,,,,,,,,
-15.15992483,,,,,,,,
-26.27499898,,,,,,,,
-54.95929718,,,,,,,,
-39.90427653,,,,,,,,
-40.46312968,,,,,,,,
-49.64192708,,,,,,,,
-42.77769725,,,,,,,,
-59.65773265,,,,,,,,
-61.29233042,,,,,,,,
-66.96351369,,,,,,,,
-74.11193848,,,,,,,,
-61.47702535,,,,,,,,
-47.13058472,,,,,,,,
-56.34689331,,,,,,,,
-50.86167653,,,,,,,,
-73.23360443,,,,,,,,
-76.63281759,,,,,,,,
-64.88355001,,,,,,,,
-77.69521077,,,,,,,,
-81.02162679,,,,,,,,
-100.08653,,,,,,,,
-119.2162832,,,,,,,,
-107.5716019,,,,,,,,
-113.3314768,,,,,,,,
-123.7071355,,,,,,,,
-126.2184779,,,,,,,,
-132.619222,,,,,,,,
-119.0824509,,,,,,,,
-110.7254028,,,,,,,,
-126.0604858,,,,,,,,
-112.159729,,,,,,,,
-116.1419551,,,,,,,,
-120.950381,,,,,,,,
-107.4911753,,,,,,,,
-127.6048024,,,,,,,,
-109.1022491,,,,,,,,
-118.6644236,,,,,,,,
-113.2885615,,,,,,,,
-112.3256683,,,,,,,,
-121.3061015,,,,,,,,
-120.2421188,,,,,,,,
-114.1990026,,,,,,,,
-125.8398692,,,,,,,,
-96.42505646,,,,,,,,
-80.20909627,,,,,,,,
-86.69312795,,,,,,,,
-69.8445638,,,,,,,,
-85.0575765,,,,,,,,
-86.32659912,,,,,,,,
-76.92050934,,,,,,,,
-84.54163869,,,,,,,,
-84.66879527,,,,,,,,
-83.68587494,,,,,,,,
-92.70159403,,,,,,,,
-66.08390808,,,,,,,,
-66.13922119,,,,,,,,
-80.20496368,,,,,,,,
-60.6730779,,,,,,,,
-56.63299561,,,,,,,,
-49.30814107,,,,,,,,
-52.67747243,,,,,,,,
-67.87554423,,,,,,,,
-54.01229858,,,,,,,,
-49.60378011,,,,,,,,
-68.99770101,,,,,,,,
-71.67625427,,,,,,,,
-73.53814443,,,,,,,,
-70.23207347,,,,,,,,
-47.70755768,,,,,,,,
-58.74919891,,,,,,,,
-47.41032918,,,,,,,,
-71.14315033,,,,,,,,
-74.8389562,,,,,,,,
-63.43746185,,,,,,,,
-71.15109762,,,,,,,,
-64.68741099,,,,,,,,
-45.68004608,,,,,,,,
-51.50477091,,,,,,,,
-44.6434021,,,,,,,,
-56.72899882,,,,,,,,
-63.34781647,,,,,,,,
-43.73836517,,,,,,,,
-30.97597758,,,,,,,,
-31.48651123,,,,,,,,
-33.70030721,,,,,,,,
-39.75613912,,,,,,,,
-30.10082245,,,,,,,,
-33.93109639,,,,,,,,
-31.98464712,,,,,,,,
-28.03707123,,,,,,,,
-22.68536886,,,,,,,,
-28.95100911,,,,,,,,
-28.3387502,,,,,,,,
-37.79125214,,,,,,,,
-28.83879344,,,,,,,,
-20.55708567,,,,,,,,
-28.4093221,,,,,,,,
-3.279368083,,,,,,,,
-6.569226583,,,,,,,,
-13.39276632,,,,,,,,
-6.565729777,,,,,,,,
-13.46143087,,,,,,,,
-14.57722982,,,,,,,,
-21.73010508,,,,,,,,
-21.32002513,,,,,,,,
-20.49827576,,,,,,,,
-22.38368988,,,,,,,,
-20.43883006,,,,,,,,
-14.39317067,,,,,,,,
-28.65950267,,,,,,,,
-10.06476084,,,,,,,,
-27.40605672,,,,,,,,
-28.21477254,,,,,,,,
-12.41143545,,,,,,,,
-5.632082621,,,,,,,,
-3.01361084,,,,,,,,
-11.35253906,,,,,,,,
-44.08423106,,,,,,,,
-59.26259359,,,,,,,,
-51.53973897,,,,,,,,
-43.59149933,,,,,,,,
-27.1469752,,,,,,,,
-11.82810465,,,,,,,,
-13.70843252,,,,,,,,
-5.374590556,,,,,,,,
-6.129582723,,,,,,,,
-9.79646047,,,,,,,,
5.385080973,,,,,,,,
-3.590901693,,,,,,,,
-3.974914551,,,,,,,,
-18.72158051,,,,,,,,
-20.41530609,,,,,,,,
-13.71796926,,,,,,,,
-28.34415436,,,,,,,,
-18.1649526,,,,,,,,
-9.962399801,,,,,,,,
-17.75010427,,,,,,,,
-19.80495453,,,,,,,,
-24.37432607,,,,,,,,
-36.36328379,,,,,,,,
-36.55687968,,,,,,,,
-31.18801117,,,,,,,,
-9.084383647,,,,,,,,
-19.11258698,,,,,,,,
-24.74880219,,,,,,,,
-7.909138997,,,,,,,,
-20.39718628,,,,,,,,
-38.12408447,,,,,,,,
-26.53408051,,,,,,,,
-20.21185557,,,,,,,,
-35.31487783,,,,,,,,
-28.08380127,,,,,,,,
-28.23607127,,,,,,,,
-20.91916402,,,,,,,,
-26.76518758,,,,,,,,
-33.94635518,,,,,,,,
-14.60425059,,,,,,,,
-22.16243744,,,,,,,,
-16.86954498,,,,,,,,
-26.53408051,,,,,,,,
-31.94904327,,,,,,,,
-30.51026662,,,,,,,,
-24.06819661,,,,,,,,
-26.73721313,,,,,,,,
-14.40588633,,,,,,,,
-26.69143677,,,,,,,,
-15.9145991,,,,,,,,
-27.03666687,,,,,,,,
-31.92043304,,,,,,,,
-12.3761495,,,,,,,,
-6.220499674,,,,,,,,
-3.796259562,,,,,,,,
-8.997599284,,,,,,,,
-14.04984792,,,,,,,,
0.542958577,,,,,,,,
4.734357198,,,,,,,,
0.823338826,,,,,,,,
-0.349998474,,,,,,,,
-16.56246185,,,,,,,,
-20.34854889,,,,,,,,
-18.34424337,,,,,,,,
3.036499023,,,,,,,,
-8.953730265,,,,,,,,
-6.619771322,,,,,,,,
-22.81856537,,,,,,,,
1.392682393,,,,,,,,
7.791519165,,,,,,,,
17.3997879,,,,,,,,
30.81226349,,,,,,,,
3.652572632,,,,,,,,
1.342773438,,,,,,,,
-5.775769552,,,,,,,,
1.868247986,,,,,,,,
-8.179028829,,,,,,,,
-26.4043808,,,,,,,,
-18.36617788,,,,,,,,
5.955060323,,,,,,,,
0.323295593,,,,,,,,
10.06062826,,,,,,,,
4.007339478,,,,,,,,
-5.212148031,,,,,,,,
-11.2730662,,,,,,,,
-16.48235321,,,,,,,,
-14.50697581,,,,,,,,
4.529953003,,,,,,,,
-0.228563944,,,,,,,,
-6.498018901,,,,,,,,
2.488454183,,,,,,,,
8.678118388,,,,,,,,
18.70155334,,,,,,,,
14.43767548,,,,,,,,
9.662628174,,,,,,,,
12.73854574,,,,,,,,
7.934888204,,,,,,,,
3.776868184,,,,,,,,
6.436983744,,,,,,,,
1.248041789,,,,,,,,
13.61656189,,,,,,,,
4.812876383,,,,,,,,
-8.339881897,,,,,,,,
23.4896342,,,,,,,,
33.83413951,,,,,,,,
25.90529124,,,,,,,,
25.41573842,,,,,,,,
7.685343424,,,,,,,,
-0.904401143,,,,,,,,
4.547754924,,,,,,,,
-16.80850983,,,,,,,,
-3.657341003,,,,,,,,
-14.46406047,,,,,,,,
-26.14879608,,,,,,,,
-6.547292074,,,,,,,,
11.80998484,,,,,,,,
45.68004608,,,,,,,,
42.03383128,,,,,,,,
44.96574402,,,,,,,,
39.11209106,,,,,,,,
25.80769857,,,,,,,,
15.13830821,,,,,,,,
15.3055191,,,,,,,,
-9.371439616,,,,,,,,
-2.223332723,,,,,,,,
-11.67106628,,,,,,,,
-18.84492238,,,,,,,,
4.703521729,,,,,,,,
-12.48391469,,,,,,,,
-8.628845215,,,,,,,,
-5.997021993,,,,,,,,
-6.149609884,,,,,,,,
21.03805542,,,,,,,,
7.925987244,,,,,,,,
-3.675142924,,,,,,,,
3.89734904,,,,,,,,
7.255872091,,,,,,,,
3.257751465,,,,,,,,
2.499262492,,,,,,,,
-5.846341451,,,,,,,,
-6.109237671,,,,,,,,
-11.38750712,,,,,,,,
-15.82145691,,,,,,,,
0.780105591,,,,,,,,
9.130477905,,,,,,,,
4.802068075,,,,,,,,
16.13616943,,,,,,,,
8.333524068,,,,,,,,
14.66369629,,,,,,,,
9.794871012,,,,,,,,
-8.86408488,,,,,,,,
-1.215934753,,,,,,,,
4.404385885,,,,,,,,
-11.60430908,,,,,,,,
3.448168437,,,,,,,,
-8.522351583,,,,,,,,
-8.641560872,,,,,,,,
-7.788976034,,,,,,,,
-14.52287038,,,,,,,,
21.29809062,,,,,,,,
16.19847616,,,,,,,,
8.737564087,,,,,,,,
14.05779521,,,,,,,,
14.75747426,,,,,,,,
11.830012,,,,,,,,
10.76094309,,,,,,,,
8.161862691,,,,,,,,
3.558158875,,,,,,,,
9.102185567,,,,,,,,
5.723953247,,,,,,,,
3.212292989,,,,,,,,
-3.868103027,,,,,,,,
-6.218910217,,,,,,,,
8.351325989,,,,,,,,
3.032684326,,,,,,,,
17.89188385,,,,,,,,
19.05314128,,,,,,,,
17.49483744,,,,,,,,
20.87942759,,,,,,,,
9.896914164,,,,,,,,
12.25566864,,,,,,,,
7.784843445,,,,,,,,
0.644683838,,,,,,,,
5.529721578,,,,,,,,
5.726496379,,,,,,,,
-3.773053487,,,,,,,,
-4.321416219,,,,,,,,
8.95690918,,,,,,,,
3.558476766,,,,,,,,
7.291475932,,,,,,,,
-13.01288605,,,,,,,,
8.385658264,,,,,,,,
7.257143656,,,,,,,,
-4.995981852,,,,,,,,
-5.629221598,,,,,,,,
-23.02996318,,,,,,,,
-9.348233541,,,,,,,,
-11.5404129,,,,,,,,
-20.50940196,,,,,,,,
-11.34777069,,,,,,,,
-7.939974467,,,,,,,,
-8.019447327,,,,,,,,
-10.38455963,,,,,,,,
-20.05227407,,,,,,,,
-5.934715271,,,,,,,,
-2.243359884,,,,,,,,
-10.45385997,,,,,,,,
-16.86127981,,,,,,,,
-9.590466817,,,,,,,,
-6.702423096,,,,,,,,
-0.577608744,,,,,,,,
-10.64777374,,,,,,,,
-20.30245463,,,,,,,,
-18.10264587,,,,,,,,
-15.6100591,,,,,,,,
-2.128601074,,,,,,,,
-13.93636068,,,,,,,,
-15.10810852,,,,,,,,
-6.846110026,,,,,,,,
11.84431712,,,,,,,,
13.41438293,,,,,,,,
22.14368184,,,,,,,,
9.168942769,,,,,,,,
-16.53925578,,,,,,,,
-21.77747091,,,,,,,,
-33.18881989,,,,,,,,
-29.11408742,,,,,,,,
-22.5426356,,,,,,,,
-1.399040222,,,,,,,,
-0.263849894,,,,,,,,
-10.71707408,,,,,,,,
-1.489003499,,,,,,,,
1.119295756,,,,,,,,
-13.408343,,,,,,,,
-5.988121033,,,,,,,,
-16.91436768,,,,,,,,
-14.79021708,,,,,,,,
-25.6729126,,,,,,,,
-38.93343608,,,,,,,,
-25.51714579,,,,,,,,
-27.57867177,,,,,,,,
-28.07362874,,,,,,,,
-16.70900981,,,,,,,,
-4.303296407,,,,,,,,
-16.02045695,,,,,,,,
-13.16833496,,,,,,,,
-18.67643992,,,,,,,,
-14.01933034,,,,,,,,
-19.24928029,,,,,,,,
-24.01638031,,,,,,,,
-17.73262024,,,,,,,,
-19.36340332,,,,,,,,
-17.61754354,,,,,,,,
-9.819348653,,,,,,,,
-11.25399272,,,,,,,,
-3.166834513,,,,,,,,
-11.73305511,,,,,,,,
-12.71629333,,,,,,,,
2.1165212,,,,,,,,
1.7674764,,,,,,,,
-8.282343547,,,,,,,,
5.679766337,,,,,,,,
-0.725110372,,,,,,,,
10.4564031,,,,,,,,
11.58936818,,,,,,,,
7.520039876,,,,,,,,
17.72785187,,,,,,,,
16.07163747,,,,,,,,
19.79732513,,,,,,,,
10.00722249,,,,,,,,
9.810129801,,,,,,,,
25.90942383,,,,,,,,
6.48021698,,,,,,,,
-13.98086548,,,,,,,,
-6.707509359,,,,,,,,
11.34872437,,,,,,,,
8.623123169,,,,,,,,
14.50030009,,,,,,,,
5.369186401,,,,,,,,
4.554112752,,,,,,,,
15.76423645,,,,,,,,
-0.39323171,,,,,,,,
21.52283986,,,,,,,,
7.345835368,,,,,,,,
-5.168914795,,,,,,,,
3.077189128,,,,,,,,
-1.088778178,,,,,,,,
-9.185155233,,,,,,,,
-10.23483276,,,,,,,,
-7.104555766,,,,,,,,
22.89231618,,,,,,,,
13.76628876,,,,,,,,
2.464612325,,,,,,,,
12.50489553,,,,,,,,
2.903938293,,,,,,,,
9.157180786,,,,,,,,
4.500389099,,,,,,,,
2.210299174,,,,,,,,
3.439585368,,,,,,,,
6.104151408,,,,,,,,
3.123283386,,,,,,,,
9.737014771,,,,,,,,
1.179059347,,,,,,,,
23.1590271,,,,,,,,
30.25341034,,,,,,,,
17.57748922,,,,,,,,
12.97632853,,,,,,,,
5.508740743,,,,,,,,
1.043319702,,,,,,,,
0.828107198,,,,,,,,
-12.77192434,,,,,,,,
-18.70028178,,,,,,,,
-9.612719218,,,,,,,,
1.600583394,,,,,,,,
6.767908732,,,,,,,,
1.474380493,,,,,,,,
9.200731913,,,,,,,,
11.6669337,,,,,,,,
9.994188944,,,,,,,,
18.5136795,,,,,,,,
12.19209035,,,,,,,,
1.961708069,,,,,,,,
1.766204834,,,,,,,,
-9.155273438,,,,,,,,
-8.457819621,,,,,,,,
11.23682658,,,,,,,,
0.152269999,,,,,,,,
0.626246134,,,,,,,,
17.58829753,,,,,,,,
16.15397135,,,,,,,,
24.40611521,,,,,,,,
26.0960261,,,,,,,,
10.07080078,,,,,,,,
17.99837748,,,,,,,,
10.1741155,,,,,,,,
1.864433289,,,,,,,,
8.69401296,,,,,,,,
-0.154495239,,,,,,,,
9.305318197,,,,,,,,
7.554690043,,,,,,,,
18.11345418,,,,,,,,
30.13261159,,,,,,,,
26.43966675,,,,,,,,
23.94930522,,,,,,,,
21.98251088,,,,,,,,
22.08773295,,,,,,,,
16.82662964,,,,,,,,
13.5641098,,,,,,,,
13.44076792,,,,,,,,
34.07669067,,,,,,,,
27.06273397,,,,,,,,
15.33444722,,,,,,,,
25.18526713,,,,,,,,
19.30077871,,,,,,,,
16.78371429,,,,,,,,
-8.098602295,,,,,,,,
-11.50862376,,,,,,,,
-2.140680949,,,,,,,,
-11.59795125,,,,,,,,
-12.65684764,,,,,,,,
-5.799929301,,,,,,,,
-0.52579244,,,,,,,,
-1.594861348,,,,,,,,
-7.590293884,,,,,,,,
-15.5248642,,,,,,,,
5.517323812,,,,,,,,
-4.794120789,,,,,,,,
-12.60789235,,,,,,,,
-14.50506846,,,,,,,,
-24.34571584,,,,,,,,
-24.13717906,,,,,,,,
-36.62268321,,,,,,,,
-19.47657267,,,,,,,,
-20.53546906,,,,,,,,
-14.71805573,,,,,,,,
-6.736119588,,,,,,,,
3.048261007,,,,,,,,
4.403114319,,,,,,,,
21.16266886,,,,,,,,
18.45677694,,,,,,,,
4.581451416,,,,,,,,
4.695574443,,,,,,,,
-5.132993062,,,,,,,,
-5.161921183,,,,,,,,
-5.919774373,,,,,,,,
-5.813598633,,,,,,,,
5.719184875,,,,,,,,
-2.614339193,,,,,,,,
-6.635983785,,,,,,,,
-2.394358317,,,,,,,,
-2.957661947,,,,,,,,
7.855415344,,,,,,,,
24.88613129,,,,,,,,
12.62919108,,,,,,,,
10.84423065,,,,,,,,
15.2053833,,,,,,,,
9.103775024,,,,,,,,
1.454035441,,,,,,,,
-4.842122396,,,,,,,,
-12.37646739,,,,,,,,
0.688870748,,,,,,,,
3.288269043,,,,,,,,
-8.933067322,,,,,,,,
-15.37164052,,,,,,,,
-14.22087351,,,,,,,,
-0.765164693,,,,,,,,
8.382797241,,,,,,,,
3.026008606,,,,,,,,
17.0507431,,,,,,,,
19.42443848,,,,,,,,
18.47489675,,,,,,,,
29.63987986,,,,,,,,
11.66756948,,,,,,,,
11.24159495,,,,,,,,
-3.404935201,,,,,,,,
-18.13920339,,,,,,,,
-20.81839244,,,,,,,,
-32.48310089,,,,,,,,
-7.920583089,,,,,,,,
-3.520965576,,,,,,,,
-15.66410065,,,,,,,,
-3.092447917,,,,,,,,
-3.85538737,,,,,,,,
3.947575887,,,,,,,,
2.158164978,,,,,,,,
-3.640492757,,,,,,,,
4.533449809,,,,,,,,
10.72883606,,,,,,,,
7.304191589,,,,,,,,
-3.867467244,,,,,,,,
-4.353841146,,,,,,,,
-12.79481252,,,,,,,,
-15.64184825,,,,,,,,
-21.76825205,,,,,,,,
-25.69198608,,,,,,,,
-16.90737406,,,,,,,,
-18.24029287,,,,,,,,
-5.063056946,,,,,,,,
-4.480361938,,,,,,,,
-4.288355509,,,,,,,,
6.487528483,,,,,,,,
17.77013143,,,,,,,,
12.76524862,,,,,,,,
12.01184591,,,,,,,,
-0.773111979,,,,,,,,
12.97887166,,,,,,,,
2.981821696,,,,,,,,
-9.676615397,,,,,,,,
-14.16428884,,,,,,,,
-14.18209076,,,,,,,,
-16.09388987,,,,,,,,
-19.27947998,,,,,,,,
-14.97300466,,,,,,,,
8.904457092,,,,,,,,
24.60765839,,,,,,,,
32.55208333,,,,,,,,
38.35868835,,,,,,,,
33.64054362,,,,,,,,
12.38632202,,,,,,,,
8.357048035,,,,,,,,
-5.585988363,,,,,,,,
-14.55497742,,,,,,,,
-16.52336121,,,,,,,,
-13.92745972,,,,,,,,
-7.6268514,,,,,,,,
-21.68814341,,,,,,,,
-11.67519887,,,,,,,,
-8.821805318,,,,,,,,
-9.66612498,,,,,,,,
-23.07860057,,,,,,,,
-21.69450124,,,,,,,,
-20.76721191,,,,,,,,
-12.31988271,,,,,,,,
-4.370689392,,,,,,,,
5.024592082,,,,,,,,
-6.964365641,,,,,,,,
-13.09108734,,,,,,,,
-0.296910604,,,,,,,,
9.650548299,,,,,,,,
-5.323092143,,,,,,,,
0.211397807,,,,,,,,
-12.71533966,,,,,,,,
-3.770192464,,,,,,,,
-0.759124756,,,,,,,,
-3.207206726,,,,,,,,
12.14981079,,,,,,,,
21.2615331,,,,,,,,
29.57566579,,,,,,,,
38.63430023,,,,,,,,
22.90312449,,,,,,,,
28.40360006,,,,,,,,
16.47249858,,,,,,,,
7.517496745,,,,,,,,
12.758255,,,,,,,,
7.971445719,,,,,,,,
10.63505809,,,,,,,,
2.496083577,,,,,,,,
4.84530131,,,,,,,,
10.32161713,,,,,,,,
20.36889394,,,,,,,,
29.69900767,,,,,,,,
34.98013814,,,,,,,,
25.46596527,,,,,,,,
40.72157542,,,,,,,,
50.6922404,,,,,,,,
47.67672221,,,,,,,,
44.30866241,,,,,,,,
47.87794749,,,,,,,,
22.43677775,,,,,,,,
10.01103719,,,,,,,,
12.97664642,,,,,,,,
26.50674184,,,,,,,,
25.08417765,,,,,,,,
18.16050212,,,,,,,,
3.699302673,,,,,,,,
17.3851649,,,,,,,,
4.418373108,,,,,,,,
27.1062851,,,,,,,,
34.63872274,,,,,,,,
25.54512024,,,,,,,,
22.11380005,,,,,,,,
0.118891398,,,,,,,,
12.46611277,,,,,,,,
14.35216268,,,,,,,,
13.94907633,,,,,,,,
19.19047038,,,,,,,,
23.70770772,,,,,,,,
16.40669505,,,,,,,,
24.75070953,,,,,,,,
23.20098877,,,,,,,,
16.46931966,,,,,,,,
37.60910034,,,,,,,,
36.08862559,,,,,,,,
40.26126862,,,,,,,,
39.70718384,,,,,,,,
35.85879008,,,,,,,,
32.86266327,,,,,,,,
33.23109945,,,,,,,,
37.12240855,,,,,,,,
26.24797821,,,,,,,,
23.50203196,,,,,,,,
5.081176758,,,,,,,,
18.70091756,,,,,,,,
12.40158081,,,,,,,,
21.86171214,,,,,,,,
27.05319722,,,,,,,,
